epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.08405,1.07745,3.69006,1.29104,0.00167,0.5,0.00151,0.00044,2.17392,4.29252,2.11954,0,0,0
2,1.56577,1.31852,3.84873,1.39014,0.00167,0.5,0.00145,0.00044,2.17556,4.2824,2.1112,1.9901e-05,1.9901e-05,1.9901e-05
3,2.24096,1.36665,3.84533,1.43111,0.00167,0.5,0.00147,0.00043,2.16917,4.27405,2.09053,3.9604e-05,3.9604e-05,3.9604e-05
4,3.00426,1.09802,3.75315,1.30375,0.00167,0.5,0.00137,0.00042,2.16832,4.2702,2.09527,5.9109e-05,5.9109e-05,5.9109e-05
5,3.59348,1.42937,3.88599,1.51556,0.00167,0.5,0.00143,0.00027,2.16612,4.2708,2.09316,7.8416e-05,7.8416e-05,7.8416e-05
6,4.63668,1.55981,4.12188,1.61915,0.00167,0.5,0.00194,0.00092,1.94861,4.08158,1.68456,9.7525e-05,9.7525e-05,9.7525e-05
7,5.34415,1.25822,3.74995,1.27825,0.00167,0.5,0.00259,0.00123,1.85758,4.00412,1.59111,0.000116436,0.000116436,0.000116436
8,5.91721,1.24362,3.84063,1.22969,0.00167,0.5,0.00265,0.00126,1.55558,3.88319,1.38801,0.000135149,0.000135149,0.000135149
9,6.50402,0.97516,3.26739,1.10827,0.0025,0.75,0.02794,0.00484,1.45312,3.95213,1.28315,0.000153664,0.000153664,0.000153664
10,7.01655,0.99786,3.16444,1.06876,0.0025,0.75,0.27058,0.23566,1.34178,3.85065,1.15921,0.000171981,0.000171981,0.000171981
11,7.57707,0.90239,2.69921,1.03938,0.00333,1,0.32111,0.24178,1.28831,3.582,1.08033,0.0001901,0.0001901,0.0001901
12,8.13927,0.9922,2.43558,1.00946,0.00333,1,0.41599,0.29805,1.23527,3.36926,0.99152,0.000208021,0.000208021,0.000208021
13,8.74726,0.99459,1.91696,0.97649,0.00333,1,0.49917,0.32431,1.25585,3.21499,0.91424,0.000225744,0.000225744,0.000225744
14,9.27773,1.25903,2.24637,1.16315,0.00695,0.84489,0.49911,0.29967,1.17529,3.13635,0.90204,0.000243269,0.000243269,0.000243269
15,9.81097,1.00292,2.13707,0.9941,0.00333,1,0.49892,0.26239,1.03005,3.17703,0.89495,0.000260596,0.000260596,0.000260596
16,10.3549,0.93324,2.65992,1.01681,0.00333,1,0.49889,0.27447,0.86415,3.28187,0.88343,0.000277725,0.000277725,0.000277725
17,11.5884,0.94739,1.99491,1.00971,0.00333,1,0.49886,0.29904,0.82875,3.26928,0.86927,0.000294656,0.000294656,0.000294656
18,12.2786,1.14809,1.76485,1.01437,0.00333,1,0.49885,0.32437,1.01498,3.27012,0.87284,0.000311389,0.000311389,0.000311389
19,12.8442,1.03102,1.60164,1.0113,0.00333,1,0.49885,0.32389,1.14824,3.36894,0.89636,0.000327924,0.000327924,0.000327924
20,13.3582,0.98138,1.69379,0.94732,0.00333,1,0.49891,0.37282,1.33512,3.41668,0.91207,0.000344261,0.000344261,0.000344261
21,13.9542,1.01757,1.77839,1.06742,0.00333,1,0.31143,0.23586,1.32829,3.41793,0.92836,0.0003604,0.0003604,0.0003604
22,14.5291,1.07131,1.84576,1.11714,0.00333,1,0.2717,0.18574,1.26563,3.41456,0.93224,0.000376341,0.000376341,0.000376341
23,15.0297,0.9584,1.54213,0.96929,0.00333,1,0.26399,0.20568,1.14703,3.40733,0.9258,0.000392084,0.000392084,0.000392084
24,15.8821,0.82616,1.616,1.0504,0.00333,1,0.26338,0.20462,1.02785,3.44476,0.92262,0.000407629,0.000407629,0.000407629
25,16.7536,1.04459,1.585,1.03157,0.00333,1,0.25819,0.20376,1.08029,3.47459,0.92831,0.000422976,0.000422976,0.000422976
26,17.4803,0.91258,1.28882,0.96928,0.00333,1,0.25052,0.19901,1.13037,3.49656,0.9485,0.000438125,0.000438125,0.000438125
27,18.2985,0.90924,1.44138,0.98767,0.00333,1,0.25095,0.17489,1.09944,3.58691,0.95398,0.000453076,0.000453076,0.000453076
28,18.8652,1.11279,1.57938,1.11885,0.00333,1,0.25177,0.19985,1.04887,3.50898,0.94676,0.000467829,0.000467829,0.000467829
29,19.3969,0.94887,1.42011,0.99721,0.00333,1,0.08909,0.06962,0.97816,3.52103,0.95602,0.000482384,0.000482384,0.000482384
