epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1918,1.5077,2.83278,1.05909,0.01682,0.48169,0.33828,0.2293,1.1885,3.51499,0.89539,0.0003,0.0003,0.0003
2,32.0873,1.29383,1.27124,0.97739,0.01202,0.55249,0.40965,0.28947,1.23282,3.33713,0.90657,0.000609468,0.000609468,0.000609468
3,47.292,1.18323,1.06566,0.94349,1,0.1952,0.76608,0.48357,1.15227,2.58722,0.90183,0.000915842,0.000915842,0.000915842
4,61.8042,1.10216,0.96205,0.9247,0.99118,0.48822,0.80193,0.51957,1.07264,1.97161,0.89869,0.00121912,0.00121912,0.00121912
5,78.0477,1.08611,0.91096,0.91629,0.91994,0.76437,0.87844,0.56916,1.07931,1.21494,0.88136,0.00122525,0.00122525,0.00122525
6,93.0801,1.04962,0.83288,0.91105,0.91499,0.85145,0.91707,0.59826,0.99427,0.76579,0.89149,0.00121906,0.00121906,0.00121906
7,108.502,1.01288,0.76935,0.90241,0.94057,0.86272,0.93365,0.65921,0.87901,0.71414,0.86318,0.00121287,0.00121287,0.00121287
8,123.296,0.98388,0.71746,0.89547,0.94827,0.91353,0.9551,0.70084,0.98786,0.66722,0.86346,0.00120669,0.00120669,0.00120669
9,137.856,0.9338,0.66632,0.88135,0.95518,0.92671,0.9637,0.68721,0.80472,0.55697,0.8452,0.0012005,0.0012005,0.0012005
10,152.668,0.92628,0.6489,0.88455,0.97066,0.91174,0.96553,0.68631,0.87901,0.56024,0.8499,0.00119431,0.00119431,0.00119431
11,168.59,0.90611,0.62066,0.88053,0.95944,0.90274,0.95692,0.71942,0.84034,0.55059,0.84942,0.00118812,0.00118812,0.00118812
12,184.891,0.89891,0.59637,0.87179,0.96064,0.92861,0.95925,0.69569,0.80582,0.52059,0.8435,0.00118194,0.00118194,0.00118194
13,201.643,0.86429,0.57406,0.86466,0.96527,0.93116,0.97253,0.71119,0.76864,0.53296,0.84154,0.00117575,0.00117575,0.00117575
14,217.498,0.85563,0.55692,0.86476,0.9818,0.88469,0.96526,0.71537,0.7354,0.53467,0.83216,0.00116956,0.00116956,0.00116956
15,233.252,0.85567,0.54901,0.86412,0.9271,0.922,0.97011,0.72779,0.84152,0.54814,0.84405,0.00116337,0.00116337,0.00116337
16,248.445,0.85691,0.54373,0.86623,0.97474,0.94644,0.9721,0.74061,0.73335,0.47945,0.82902,0.00115719,0.00115719,0.00115719
