epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.26941,3.64777,4.85814,3.13662,0,0,0,0,3.99905,3.91093,2.68088,0,0,0
2,1.7371,3.82491,5.11088,3.39519,0,0,0,0,3.91967,3.89084,2.68505,1.9901e-05,1.9901e-05,1.9901e-05
3,2.36164,3.76857,5.06453,3.32416,0,0,0,0,3.87358,3.88456,2.68338,3.9604e-05,3.9604e-05,3.9604e-05
4,2.81834,3.4955,5.06601,3.05706,0,0,0,0,3.81988,3.88065,2.67735,5.9109e-05,5.9109e-05,5.9109e-05
5,3.19241,3.72365,5.0747,3.25745,0,0,0,0,3.76701,3.87763,2.66947,7.8416e-05,7.8416e-05,7.8416e-05
6,3.57038,3.38073,5.16026,3.06107,0,0,0,0,3.75616,3.87216,2.70296,9.7525e-05,9.7525e-05,9.7525e-05
7,4.17422,3.64629,5.11453,3.17648,0,0,0,0,3.74595,3.87634,2.70857,0.000116436,0.000116436,0.000116436
8,4.58247,3.88464,5.32522,3.03497,0,0,0,0,3.73462,3.87836,2.71651,0.000135149,0.000135149,0.000135149
9,5.03314,3.64731,5.0614,3.2334,0,0,0,0,3.74523,3.89956,2.74365,0.000153664,0.000153664,0.000153664
10,5.56625,3.55411,4.96987,3.13906,0,0,0,0,3.76508,3.91003,2.7822,0.000171981,0.000171981,0.000171981
11,6.08965,3.4756,4.7575,3.31932,0,0,0,0,3.77895,3.94544,2.79331,0.0001901,0.0001901,0.0001901
12,6.62447,3.55322,4.60379,2.9687,0,0,0,0,3.79548,3.98139,2.80666,0.000208021,0.000208021,0.000208021
13,7.16435,3.32602,4.61151,2.96955,0,0,0,0,3.80419,4.019,2.81684,0.000225744,0.000225744,0.000225744
14,7.71035,3.65462,4.55422,3.11545,0,0,0,0,3.81436,4.07374,2.82127,0.000243269,0.000243269,0.000243269
15,8.19183,3.13929,4.45183,2.87822,0,0,0,0,3.81028,4.12393,2.81409,0.000260596,0.000260596,0.000260596
16,8.79215,3.21361,4.62295,3.1758,0,0,0,0,3.80675,4.17836,2.80653,0.000277725,0.000277725,0.000277725
17,9.26717,3.11246,4.41351,2.81145,0,0,0,0,3.77654,4.22905,2.78169,0.000294656,0.000294656,0.000294656
18,9.82309,3.34118,4.00463,2.9494,0,0,0,0,3.75246,4.27097,2.76304,0.000311389,0.000311389,0.000311389
19,12.602,3.23865,4.02269,2.81289,0,0,0,0,3.74307,4.30197,2.74804,0.000327924,0.000327924,0.000327924
20,13.1807,3.08997,4.29105,2.7147,0,0,0,0,3.71787,4.34429,2.73355,0.000344261,0.000344261,0.000344261
21,13.6972,3.18219,3.84855,2.95932,0,0,0,0,3.67927,4.37443,2.70925,0.0003604,0.0003604,0.0003604
22,14.2303,3.0738,4.01071,2.81256,0,0,0,0,3.69302,4.4057,2.69813,0.000376341,0.000376341,0.000376341
23,14.9705,3.11277,3.6907,2.95536,0,0,0,0,3.69863,4.43693,2.68682,0.000392084,0.000392084,0.000392084
24,15.6119,3.10918,3.81682,2.71795,0,0,0,0,3.65483,4.47227,2.6747,0.000407629,0.000407629,0.000407629
25,16.1899,2.92409,3.62763,2.90756,0,0,0,0,3.62655,4.50906,2.67392,0.000422976,0.000422976,0.000422976
26,17.183,3.0667,3.54907,2.86885,0,0,0,0,3.6684,4.54892,2.66198,0.000438125,0.000438125,0.000438125
27,17.7447,3.11282,3.60688,2.6914,0,0,0,0,3.71576,4.57699,2.66073,0.000453076,0.000453076,0.000453076
28,18.3003,3.24586,3.80472,2.89697,0,0,0,0,3.7595,4.6034,2.66973,0.000467829,0.000467829,0.000467829
29,18.8266,3.26617,3.22583,2.73067,0,0,0,0,3.77088,4.63284,2.65363,0.000482384,0.000482384,0.000482384
30,19.5186,2.947,3.21507,2.78138,0,0,0,0,3.77029,4.66849,2.63533,0.000496741,0.000496741,0.000496741
31,20.0667,3.01318,3.52688,2.84697,0,0,0,0,3.76542,4.67183,2.62154,0.0005109,0.0005109,0.0005109
32,20.5541,3.09476,3.0492,2.75599,0,0,0,0,3.77691,4.67484,2.62052,0.000524861,0.000524861,0.000524861
33,21.088,2.82461,3.02408,2.58194,0,0,0,0,3.76309,4.67287,2.60177,0.000538624,0.000538624,0.000538624
34,22.1792,2.98073,3.09267,2.93162,0,0,0,0,3.80451,4.6687,2.63601,0.000552189,0.000552189,0.000552189
