epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4124,3.97895,5.09963,3.31917,0,0,0,0,4.61216,6.38409,2.6891,0.0003,0.0003,0.0003
2,32.4225,3.06927,2.6995,2.13184,0,0,0,0,3.97668,7.37131,2.60824,0.000609468,0.000609468,0.000609468
3,48.3136,2.3544,1.86306,1.56509,0.2,0.02949,0.01747,0.00691,2.94716,5.2228,2.17391,0.000915842,0.000915842,0.000915842
4,64.9542,2.00557,1.4514,1.3613,0.29019,0.73183,0.5027,0.21368,1.9886,2.9086,1.38968,0.00121912,0.00121912,0.00121912
5,82.0546,1.78399,1.2114,1.25883,0.84541,0.49852,0.60362,0.32658,1.85276,1.58489,1.25794,0.00122525,0.00122525,0.00122525
6,98.6305,1.63974,1.07835,1.17768,0.75918,0.65987,0.73842,0.41643,1.56795,1.11792,1.15585,0.00121906,0.00121906,0.00121906
7,115.02,1.50003,0.97132,1.12529,0.80002,0.76938,0.81514,0.49562,1.38857,0.84586,1.08732,0.00121287,0.00121287,0.00121287
8,130.559,1.40652,0.8932,1.08632,0.89399,0.80796,0.88069,0.51852,1.32213,0.81639,1.03823,0.00120669,0.00120669,0.00120669
9,146.471,1.35124,0.83594,1.0605,0.89147,0.83164,0.90491,0.54826,1.29256,0.7764,1.03279,0.0012005,0.0012005,0.0012005
10,162.417,1.29441,0.81073,1.0455,0.89817,0.86653,0.91422,0.58478,1.14017,0.75405,0.9769,0.00119431,0.00119431,0.00119431
11,179.282,1.28146,0.78316,1.03665,0.93647,0.86164,0.91342,0.59117,1.15368,0.69464,0.98224,0.00118812,0.00118812,0.00118812
12,195.082,1.21094,0.74154,1.00373,0.93061,0.89325,0.93662,0.61457,1.08158,0.70098,0.95636,0.00118194,0.00118194,0.00118194
13,210.676,1.17611,0.71195,0.99812,0.95555,0.87099,0.93696,0.6264,1.07858,0.64716,0.95625,0.00117575,0.00117575,0.00117575
14,226.755,1.13174,0.69995,0.97281,0.94797,0.88748,0.94424,0.6473,1.00178,0.59734,0.92925,0.00116956,0.00116956,0.00116956
15,242.373,1.14685,0.68394,0.97843,0.95799,0.88462,0.94116,0.61122,1.06934,0.65616,0.94645,0.00116337,0.00116337,0.00116337
16,257.934,1.109,0.66546,0.96645,0.95756,0.90938,0.94595,0.64919,0.93446,0.63151,0.90102,0.00115719,0.00115719,0.00115719
17,273.916,1.07149,0.65048,0.9551,0.95752,0.93242,0.96638,0.67395,0.91452,0.58349,0.90425,0.001151,0.001151,0.001151
18,290.811,1.04491,0.62798,0.95781,0.93942,0.90958,0.94787,0.62969,1.00504,0.66888,0.93146,0.00114481,0.00114481,0.00114481
19,305.832,1.05342,0.62517,0.94689,0.96049,0.92999,0.95766,0.65491,0.96917,0.62678,0.92379,0.00113863,0.00113863,0.00113863
20,321.833,1.05148,0.62602,0.94945,0.96948,0.92179,0.96818,0.67655,0.98784,0.56511,0.91714,0.00113244,0.00113244,0.00113244
21,337.104,1.01945,0.59879,0.94111,0.95623,0.90489,0.94983,0.6823,0.88423,0.55646,0.89432,0.00112625,0.00112625,0.00112625
22,352.855,1.00128,0.59501,0.93423,0.9663,0.93618,0.96582,0.69044,0.86095,0.57936,0.88468,0.00112006,0.00112006,0.00112006
